1.550000	-0.08201	0.08247
1.570000	-0.07947	0.07280
1.590000	-0.07685	0.06317
1.610000	-0.07374	0.05540
1.630000	-0.07019	0.04865
1.650000	-0.06528	0.04159
1.670000	-0.05889	0.03669
1.690000	-0.05629	0.02794
1.710000	-0.04773	0.02179
1.730000	-0.04274	0.01729
1.750000	-0.03451	0.01339
1.770000	-0.02794	0.00725
1.790000	-0.01890	0.00389
1.810000	-0.01099	0.00427
1.830000	-0.00433	0.00200
1.850000	0.00275	0.00176
1.870000	0.01180	0.00109
1.890000	0.02109	0.00099
1.910000	0.02821	0.00343
1.930000	0.03550	0.00356
1.950000	0.04380	0.00749
1.970000	0.05099	0.00977
1.990000	0.05843	0.01470
2.010000	0.06609	0.01960
2.030000	0.07198	0.02357
2.050000	0.07758	0.03253
2.070000	0.08273	0.03945
2.090000	0.08681	0.04655
2.110000	0.09042	0.05297
2.130000	0.09330	0.06321
2.150000	0.09544	0.07220
2.170000	0.09628	0.08091
2.190000	0.09619	0.09106
2.210000	0.09478	0.09992
2.230000	0.09259	0.11125
2.250000	0.08837	0.12018
2.270000	0.08203	0.13056
2.290000	0.07551	0.13887
2.310000	0.06751	0.14663
2.330000	0.05866	0.15370
2.350000	0.04878	0.15898
2.370000	0.03763	0.16399
2.390000	0.02575	0.16677
2.410000	0.01313	0.16784
2.430000	0.00060	0.16831
2.450000	-0.01158	0.16564
2.470000	-0.02424	0.16204
2.490000	-0.03626	0.15498
2.510000	-0.04764	0.14839
2.530000	-0.05762	0.14058
2.550000	-0.06629	0.13276
2.570000	-0.07404	0.12288
2.590000	-0.07992	0.11175
2.610000	-0.08591	0.09863
2.630000	-0.08863	0.08823
2.650000	-0.09048	0.07480
2.670000	-0.09134	0.06174
2.690000	-0.09107	0.05102
2.710000	-0.08897	0.03833
2.730000	-0.08581	0.02716
2.750000	-0.08168	0.01556
2.770000	-0.07635	0.00582
2.790000	-0.07031	-0.00380
2.810000	-0.06348	-0.01376
2.830000	-0.05562	-0.02187
2.850000	-0.04709	-0.03032
2.870000	-0.03836	-0.03551
2.890000	-0.02825	-0.04147
2.910000	-0.01885	-0.04645
2.930000	-0.00871	-0.04973
2.950000	0.00237	-0.05270
2.970000	0.01289	-0.05347
2.990000	0.02361	-0.05386
3.010000	0.03446	-0.05376
3.030000	0.04523	-0.05196
3.050000	0.05605	-0.04858
3.070000	0.06591	-0.04557
3.090000	0.07530	-0.04016
3.110000	0.08551	-0.03509
3.130000	0.09357	-0.02591
3.150000	0.10173	-0.01811
3.170000	0.10813	-0.00840
3.190000	0.11406	0.00237
3.210000	0.11819	0.01384
3.230000	0.12154	0.02714
3.250000	0.12303	0.03965
3.270000	0.12201	0.05310
3.290000	0.11878	0.06699
3.310000	0.11511	0.08097
3.330000	0.10774	0.09552
3.350000	0.09802	0.10614
3.370000	0.08596	0.11737
3.390000	0.07174	0.12687
3.410000	0.05582	0.13280
3.430000	0.03760	0.14105
3.450000	0.01908	0.13990
3.470000	-0.00023	0.13967
3.490000	-0.01879	0.13374
3.510000	-0.03684	0.12514
3.530000	-0.05350	0.11494
3.550000	-0.06855	0.10134
3.570000	-0.08174	0.08621
3.590000	-0.09091	0.06896
3.610000	-0.09795	0.04862
3.630000	-0.10336	0.02864
3.650000	-0.10556	0.01012
3.670000	-0.10389	-0.01086
3.690000	-0.09972	-0.02637
3.710000	-0.09526	-0.04750
3.730000	-0.08779	-0.06521
3.750000	-0.07974	-0.08138
3.770000	-0.06783	-0.09671
3.790000	-0.05418	-0.10970
3.810000	-0.03945	-0.12069
3.830000	-0.02404	-0.12957
3.850000	-0.00603	-0.13694
3.870000	0.01152	-0.14338
3.890000	0.02914	-0.14434
3.910000	0.04816	-0.14747
3.930000	0.06913	-0.14522
3.950000	0.08667	-0.14123
3.970000	0.10464	-0.12916
3.990000	0.11944	-0.11716
4.010000	0.13335	-0.10834
4.030000	0.14388	-0.09093
4.050000	0.15589	-0.06751
4.070000	0.15870	-0.04529
4.090000	0.15538	-0.02011

